plate_position,aryl_halide_smiles,nucleophile_smiles,catalyst_smiles,catalyst_name,base_smiles,base_name,yield_percent,product_smiles
E1,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=C(C5=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C5C=CC=C8)C(C=CC=C9)=C9C=C4)C%10=CC=CC=C%10C%11=C([NH2]1)C=CC=C%11)(=O)=O,BINAP Pd G3 30,C12=NCCCN1CCCCC2,DBU 24,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E2,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=C(C5=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C5C=CC=C8)C(C=CC=C9)=C9C=C4)C%10=CC=CC=C%10C%11=C([NH2]1)C=CC=C%11)(=O)=O,BINAP Pd G3 30,CN1CCCN2C1=NCCC2,MTBD 25,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E3,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=C(C5=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C5C=CC=C8)C(C=CC=C9)=C9C=C4)C%10=CC=CC=C%10C%11=C([NH2]1)C=CC=C%11)(=O)=O,BINAP Pd G3 30,CN(C)/C(N(C)C)=N\C(C)(C)C,BTMG 26,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E4,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=C(C5=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C5C=CC=C8)C(C=CC=C9)=C9C=C4)C%10=CC=CC=C%10C%11=C([NH2]1)C=CC=C%11)(=O)=O,BINAP Pd G3 30,CN1P(N(CC)CC)(N(C)CCC1)=NC(C)(C)C,BEMP 27,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E5,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=C(C5=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C5C=CC=C8)C(C=CC=C9)=C9C=C4)C%10=CC=CC=C%10C%11=C([NH2]1)C=CC=C%11)(=O)=O,BINAP Pd G3 30,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,BTTP 28,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E6,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=C(C5=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C5C=CC=C8)C(C=CC=C9)=C9C=C4)C%10=CC=CC=C%10C%11=C([NH2]1)C=CC=C%11)(=O)=O,BINAP Pd G3 30,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,P2Et 29,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E7,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC4[Fe]C5C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C5)C8=CC=CC=C8C9=C([NH2]1)C=CC=C9)(=O)=O,DPPF Pd G3 31,C12=NCCCN1CCCCC2,DBU 24,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E8,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC4[Fe]C5C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C5)C8=CC=CC=C8C9=C([NH2]1)C=CC=C9)(=O)=O,DPPF Pd G3 31,CN1CCCN2C1=NCCC2,MTBD 25,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E9,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC4[Fe]C5C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C5)C8=CC=CC=C8C9=C([NH2]1)C=CC=C9)(=O)=O,DPPF Pd G3 31,CN(C)/C(N(C)C)=N\C(C)(C)C,BTMG 26,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E10,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC4[Fe]C5C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C5)C8=CC=CC=C8C9=C([NH2]1)C=CC=C9)(=O)=O,DPPF Pd G3 31,CN1P(N(CC)CC)(N(C)CCC1)=NC(C)(C)C,BEMP 27,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
